seed,round_no,strategy,game_no,num1,num2,num3,num4,num5,num6,match_count,has_bonus,prize
1,943,random,5,1,2,21,35,43,44,2,0,꽝
1,944,random,1,5,8,9,17,32,37,1,0,꽝
1,944,random,2,7,14,25,29,31,42,0,1,꽝
1,944,random,3,1,2,25,28,32,39,2,0,꽝
1,944,random,4,7,15,18,29,38,45,0,0,꽝
1,944,random,5,1,2,21,35,43,44,1,0,꽝
1,945,random,1,5,8,9,17,32,37,2,0,꽝
1,945,random,2,7,14,25,29,31,42,0,0,꽝
1,945,random,3,1,2,25,28,32,39,0,0,꽝
1,945,random,4,7,15,18,29,38,45,1,0,꽝
1,945,random,5,1,2,21,35,43,44,0,0,꽝
1,946,random,1,5,8,9,17,32,37,1,0,꽝
1,946,random,2,7,14,25,29,31,42,0,0,꽝
1,946,random,3,1,2,25,28,32,39,0,0,꽝
1,946,random,4,7,15,18,29,38,45,1,0,꽝
1,946,random,5,1,2,21,35,43,44,0,0,꽝
1,947,random,1,5,8,9,17,32,37,2,0,꽝
1,947,random,2,7,14,25,29,31,42,0,0,꽝
1,947,random,3,1,2,25,28,32,39,0,0,꽝
1,947,random,4,7,15,18,29,38,45,0,0,꽝
1,947,random,5,1,2,21,35,43,44,1,0,꽝
1,948,random,1,5,8,9,17,32,37,0,1,꽝
1,948,random,2,7,14,25,29,31,42,1,0,꽝
1,948,random,3,1,2,25,28,32,39,0,0,꽝
1,948,random,4,7,15,18,29,38,45,2,0,꽝
1,948,random,5,1,2,21,35,43,44,0,0,꽝
1,949,random,1,5,8,9,17,32,37,0,0,꽝
1,949,random,2,7,14,25,29,31,42,1,0,꽝
1,949,random,3,1,2,25,28,32,39,0,0,꽝
1,949,random,4,7,15,18,29,38,45,0,0,꽝
1,949,random,5,1,2,21,35,43,44,3,0,5등
1,950,random,1,5,8,9,17,32,37,0,0,꽝
1,950,random,2,7,14,25,29,31,42,0,0,꽝
1,950,random,3,1,2,25,28,32,39,1,0,꽝
1,950,random,4,7,15,18,29,38,45,1,0,꽝
1,950,random,5,1,2,21,35,43,44,0,0,꽝
1,951,random,1,5,8,9,17,32,37,0,0,꽝
1,951,random,2,7,14,25,29,31,42,1,0,꽝
1,951,random,3,1,2,25,28,32,39,2,0,꽝
1,951,random,4,7,15,18,29,38,45,0,1,꽝
1,951,random,5,1,2,21,35,43,44,2,0,꽝
1,952,random,1,5,8,9,17,32,37,0,0,꽝
1,952,random,2,7,14,25,29,31,42,0,0,꽝
1,952,random,3,1,2,25,28,32,39,0,0,꽝
1,952,random,4,7,15,18,29,38,45,0,1,꽝
1,952,random,5,1,2,21,35,43,44,0,0,꽝
1,953,random,1,5,8,9,17,32,37,2,0,꽝
1,953,random,2,7,14,25,29,31,42,2,0,꽝
1,953,random,3,1,2,25,28,32,39,0,0,꽝
1,953,random,4,7,15,18,29,38,45,1,0,꽝
1,953,random,5,1,2,21,35,43,44,0,0,꽝
1,954,random,1,5,8,9,17,32,37,1,1,꽝
1,954,random,2,7,14,25,29,31,42,0,0,꽝
1,954,random,3,1,2,25,28,32,39,2,1,꽝
1,954,random,4,7,15,18,29,38,45,0,0,꽝
1,954,random,5,1,2,21,35,43,44,1,0,꽝
1,955,random,1,5,8,9,17,32,37,1,1,꽝
1,955,random,2,7,14,25,29,31,42,1,0,꽝
1,955,random,3,1,2,25,28,32,39,0,0,꽝
1,955,random,4,7,15,18,29,38,45,1,0,꽝
1,955,random,5,1,2,21,35,43,44,0,0,꽝
1,956,random,1,5,8,9,17,32,37,0,0,꽝
1,956,random,2,7,14,25,29,31,42,1,0,꽝
1,956,random,3,1,2,25,28,32,39,1,0,꽝
1,956,random,4,7,15,18,29,38,45,0,0,꽝
1,956,random,5,1,2,21,35,43,44,1,0,꽝
1,957,random,1,5,8,9,17,32,37,0,0,꽝
1,957,random,2,7,14,25,29,31,42,0,0,꽝
1,957,random,3,1,2,25,28,32,39,0,1,꽝
1,957,random,4,7,15,18,29,38,45,1,0,꽝
1,957,random,5,1,2,21,35,43,44,1,1,꽝
1,958,random,1,5,8,9,17,32,37,2,0,꽝
1,958,random,2,7,14,25,29,31,42,0,0,꽝
1,958,random,3,1,2,25,28,32,39,1,1,꽝
1,958,random,4,7,15,18,29,38,45,0,0,꽝
1,958,random,5,1,2,21,35,43,44,2,1,꽝
1,959,random,1,5,8,9,17,32,37,0,0,꽝
1,959,random,2,7,14,25,29,31,42,1,0,꽝
1,959,random,3,1,2,25,28,32,39,1,0,꽝
1,959,random,4,7,15,18,29,38,45,1,0,꽝
1,959,random,5,1,2,21,35,43,44,1,1,꽝
1,960,random,1,5,8,9,17,32,37,1,0,꽝
1,960,random,2,7,14,25,29,31,42,0,1,꽝
1,960,random,3,1,2,25,28,32,39,2,0,꽝
1,960,random,4,7,15,18,29,38,45,2,0,꽝
1,960,random,5,1,2,21,35,43,44,1,0,꽝
1,961,random,1,5,8,9,17,32,37,0,0,꽝
1,961,random,2,7,14,25,29,31,42,3,0,5등
1,961,random,3,1,2,25,28,32,39,0,0,꽝
1,961,random,4,7,15,18,29,38,45,1,0,꽝
1,961,random,5,1,2,21,35,43,44,0,1,꽝
1,962,random,1,5,8,9,17,32,37,0,0,꽝
1,962,random,2,7,14,25,29,31,42,1,0,꽝
1,962,random,3,1,2,25,28,32,39,2,0,꽝
1,962,random,4,7,15,18,29,38,45,1,0,꽝
1,962,random,5,1,2,21,35,43,44,2,0,꽝
1,963,random,1,5,8,9,17,32,37,0,0,꽝
1,963,random,2,7,14,25,29,31,42,1,0,꽝
1,963,random,3,1,2,25,28,32,39,0,0,꽝
1,963,random,4,7,15,18,29,38,45,0,0,꽝
1,963,random,5,1,2,21,35,43,44,0,1,꽝
1,964,random,1,5,8,9,17,32,37,0,0,꽝
1,964,random,2,7,14,25,29,31,42,0,0,꽝
1,964,random,3,1,2,25,28,32,39,1,0,꽝
1,964,random,4,7,15,18,29,38,45,1,0,꽝
1,964,random,5,1,2,21,35,43,44,2,0,꽝
1,965,random,1,5,8,9,17,32,37,0,0,꽝
1,965,random,2,7,14,25,29,31,42,2,0,꽝
1,965,random,3,1,2,25,28,32,39,3,0,5등
1,965,random,4,7,15,18,29,38,45,1,0,꽝
1,965,random,5,1,2,21,35,43,44,1,0,꽝
1,966,random,1,5,8,9,17,32,37,1,0,꽝
1,966,random,2,7,14,25,29,31,42,2,0,꽝
1,966,random,3,1,2,25,28,32,39,2,0,꽝
1,966,random,4,7,15,18,29,38,45,1,0,꽝
1,966,random,5,1,2,21,35,43,44,2,0,꽝
1,967,random,1,5,8,9,17,32,37,1,1,꽝
1,967,random,2,7,14,25,29,31,42,0,0,꽝
1,967,random,3,1,2,25,28,32,39,1,0,꽝
1,967,random,4,7,15,18,29,38,45,1,0,꽝
1,967,random,5,1,2,21,35,43,44,1,0,꽝
1,968,random,1,5,8,9,17,32,37,1,0,꽝
1,968,random,2,7,14,25,29,31,42,1,0,꽝
1,968,random,3,1,2,25,28,32,39,2,0,꽝
1,968,random,4,7,15,18,29,38,45,0,0,꽝
1,968,random,5,1,2,21,35,43,44,1,0,꽝
1,969,random,1,5,8,9,17,32,37,1,0,꽝
1,969,random,2,7,14,25,29,31,42,1,1,꽝
1,969,random,3,1,2,25,28,32,39,0,0,꽝
1,969,random,4,7,15,18,29,38,45,2,1,꽝
1,969,random,5,1,2,21,35,43,44,0,0,꽝
1,970,random,1,5,8,9,17,32,37,1,1,꽝
1,970,random,2,7,14,25,29,31,42,0,0,꽝
1,970,random,3,1,2,25,28,32,39,1,0,꽝
1,970,random,4,7,15,18,29,38,45,0,0,꽝
1,970,random,5,1,2,21,35,43,44,1,0,꽝
1,971,random,1,5,8,9,17,32,37,1,0,꽝
1,971,random,2,7,14,25,29,31,42,0,1,꽝
1,971,random,3,1,2,25,28,32,39,1,0,꽝
1,971,random,4,7,15,18,29,38,45,1,1,꽝
1,971,random,5,1,2,21,35,43,44,2,0,꽝
1,972,random,1,5,8,9,17,32,37,2,0,꽝
1,972,random,2,7,14,25,29,31,42,0,0,꽝
1,972,random,3,1,2,25,28,32,39,1,0,꽝
1,972,random,4,7,15,18,29,38,45,0,0,꽝
1,972,random,5,1,2,21,35,43,44,0,0,꽝
1,973,random,1,5,8,9,17,32,37,1,0,꽝
1,973,random,2,7,14,25,29,31,42,2,0,꽝
1,973,random,3,1,2,25,28,32,39,0,0,꽝
1,973,random,4,7,15,18,29,38,45,0,0,꽝
1,973,random,5,1,2,21,35,43,44,0,0,꽝
1,974,random,1,5,8,9,17,32,37,0,1,꽝
1,974,random,2,7,14,25,29,31,42,0,0,꽝
1,974,random,3,1,2,25,28,32,39,3,1,5등
1,974,random,4,7,15,18,29,38,45,0,0,꽝
1,974,random,5,1,2,21,35,43,44,3,0,5등
1,975,random,1,5,8,9,17,32,37,3,1,5등
1,975,random,2,7,14,25,29,31,42,1,0,꽝
1,975,random,3,1,2,25,28,32,39,0,0,꽝
1,975,random,4,7,15,18,29,38,45,1,0,꽝
1,975,random,5,1,2,21,35,43,44,0,0,꽝
1,976,random,1,5,8,9,17,32,37,1,0,꽝
1,976,random,2,7,14,25,29,31,42,2,0,꽝
1,976,random,3,1,2,25,28,32,39,1,1,꽝
1,976,random,4,7,15,18,29,38,45,0,0,꽝
1,976,random,5,1,2,21,35,43,44,1,1,꽝
1,977,random,1,5,8,9,17,32,37,1,0,꽝
1,977,random,2,7,14,25,29,31,42,1,0,꽝
1,977,random,3,1,2,25,28,32,39,1,0,꽝
1,977,random,4,7,15,18,29,38,45,0,0,꽝
1,977,random,5,1,2,21,35,43,44,2,0,꽝
1,978,random,1,5,8,9,17,32,37,1,1,꽝
1,978,random,2,7,14,25,29,31,42,2,0,꽝
1,978,random,3,1,2,25,28,32,39,2,0,꽝
1,978,random,4,7,15,18,29,38,45,2,0,꽝
1,978,random,5,1,2,21,35,43,44,1,0,꽝
1,979,random,1,5,8,9,17,32,37,0,0,꽝
1,979,random,2,7,14,25,29,31,42,1,0,꽝
1,979,random,3,1,2,25,28,32,39,0,0,꽝
1,979,random,4,7,15,18,29,38,45,1,0,꽝
1,979,random,5,1,2,21,35,43,44,1,0,꽝
1,980,random,1,5,8,9,17,32,37,0,0,꽝
1,980,random,2,7,14,25,29,31,42,0,1,꽝
1,980,random,3,1,2,25,28,32,39,0,0,꽝
1,980,random,4,7,15,18,29,38,45,0,0,꽝
1,980,random,5,1,2,21,35,43,44,1,0,꽝
1,981,random,1,5,8,9,17,32,37,1,1,꽝
1,981,random,2,7,14,25,29,31,42,0,0,꽝
1,981,random,3,1,2,25,28,32,39,0,1,꽝
1,981,random,4,7,15,18,29,38,45,1,0,꽝
1,981,random,5,1,2,21,35,43,44,1,0,꽝
1,982,random,1,5,8,9,17,32,37,1,0,꽝
1,982,random,2,7,14,25,29,31,42,1,0,꽝
1,982,random,3,1,2,25,28,32,39,0,0,꽝
1,982,random,4,7,15,18,29,38,45,1,0,꽝
1,982,random,5,1,2,21,35,43,44,2,0,꽝
1,983,random,1,5,8,9,17,32,37,0,0,꽝
1,983,random,2,7,14,25,29,31,42,1,0,꽝
1,983,random,3,1,2,25,28,32,39,0,0,꽝
1,983,random,4,7,15,18,29,38,45,0,1,꽝
1,983,random,5,1,2,21,35,43,44,2,0,꽝
1,984,random,1,5,8,9,17,32,37,1,0,꽝
1,984,random,2,7,14,25,29,31,42,0,0,꽝
1,984,random,3,1,2,25,28,32,39,0,0,꽝
1,984,random,4,7,15,18,29,38,45,0,1,꽝
1,984,random,5,1,2,21,35,43,44,1,0,꽝
1,985,random,1,5,8,9,17,32,37,1,0,꽝
1,985,random,2,7,14,25,29,31,42,0,0,꽝
1,985,random,3,1,2,25,28,32,39,0,0,꽝
1,985,random,4,7,15,18,29,38,45,0,0,꽝
1,985,random,5,1,2,21,35,43,44,2,0,꽝
1,986,random,1,5,8,9,17,32,37,0,0,꽝
1,986,random,2,7,14,25,29,31,42,2,0,꽝
1,986,random,3,1,2,25,28,32,39,1,0,꽝
1,986,random,4,7,15,18,29,38,45,1,0,꽝
1,986,random,5,1,2,21,35,43,44,0,0,꽝
1,987,random,1,5,8,9,17,32,37,0,0,꽝
1,987,random,2,7,14,25,29,31,42,1,1,꽝
1,987,random,3,1,2,25,28,32,39,1,0,꽝
1,987,random,4,7,15,18,29,38,45,3,1,5등
1,987,random,5,1,2,21,35,43,44,1,0,꽝
1,988,random,1,5,8,9,17,32,37,0,0,꽝
1,988,random,2,7,14,25,29,31,42,1,0,꽝
1,988,random,3,1,2,25,28,32,39,1,0,꽝
1,988,random,4,7,15,18,29,38,45,0,0,꽝
1,988,random,5,1,2,21,35,43,44,1,0,꽝
1,989,random,1,5,8,9,17,32,37,1,0,꽝
1,989,random,2,7,14,25,29,31,42,1,0,꽝
1,989,random,3,1,2,25,28,32,39,0,0,꽝
1,989,random,4,7,15,18,29,38,45,2,0,꽝
1,989,random,5,1,2,21,35,43,44,1,0,꽝
1,990,random,1,5,8,9,17,32,37,1,0,꽝
1,990,random,2,7,14,25,29,31,42,1,0,꽝
1,990,random,3,1,2,25,28,32,39,2,1,꽝
1,990,random,4,7,15,18,29,38,45,0,0,꽝
1,990,random,5,1,2,21,35,43,44,1,0,꽝
1,991,random,1,5,8,9,17,32,37,0,0,꽝
1,991,random,2,7,14,25,29,31,42,2,0,꽝
1,991,random,3,1,2,25,28,32,39,1,0,꽝
1,991,random,4,7,15,18,29,38,45,1,1,꽝
1,991,random,5,1,2,21,35,43,44,1,0,꽝
1,992,random,1,5,8,9,17,32,37,0,0,꽝
1,992,random,2,7,14,25,29,31,42,0,0,꽝
1,992,random,3,1,2,25,28,32,39,0,0,꽝
1,992,random,4,7,15,18,29,38,45,1,0,꽝
1,992,random,5,1,2,21,35,43,44,1,0,꽝
1,993,random,1,5,8,9,17,32,37,0,0,꽝
1,993,random,2,7,14,25,29,31,42,2,0,꽝
1,993,random,3,1,2,25,28,32,39,0,0,꽝
1,993,random,4,7,15,18,29,38,45,1,0,꽝
1,993,random,5,1,2,21,35,43,44,0,1,꽝
1,994,random,1,5,8,9,17,32,37,1,0,꽝
1,994,random,2,7,14,25,29,31,42,0,0,꽝
1,994,random,3,1,2,25,28,32,39,1,1,꽝
1,994,random,4,7,15,18,29,38,45,0,0,꽝
1,994,random,5,1,2,21,35,43,44,2,0,꽝
1,995,random,1,5,8,9,17,32,37,0,0,꽝
1,995,random,2,7,14,25,29,31,42,1,1,꽝
1,995,random,3,1,2,25,28,32,39,2,0,꽝
1,995,random,4,7,15,18,29,38,45,2,1,꽝
1,995,random,5,1,2,21,35,43,44,1,0,꽝
1,996,random,1,5,8,9,17,32,37,1,0,꽝
1,996,random,2,7,14,25,29,31,42,0,0,꽝
1,996,random,3,1,2,25,28,32,39,2,1,꽝
1,996,random,4,7,15,18,29,38,45,1,0,꽝
1,996,random,5,1,2,21,35,43,44,0,0,꽝
1,997,random,1,5,8,9,17,32,37,0,0,꽝
1,997,random,2,7,14,25,29,31,42,2,0,꽝
1,997,random,3,1,2,25,28,32,39,0,0,꽝
1,997,random,4,7,15,18,29,38,45,1,0,꽝
1,997,random,5,1,2,21,35,43,44,1,0,꽝
1,998,random,1,5,8,9,17,32,37,1,0,꽝
1,998,random,2,7,14,25,29,31,42,1,0,꽝
1,998,random,3,1,2,25,28,32,39,0,0,꽝
1,998,random,4,7,15,18,29,38,45,2,0,꽝
1,998,random,5,1,2,21,35,43,44,0,0,꽝
1,999,random,1,5,8,9,17,32,37,1,0,꽝
1,999,random,2,7,14,25,29,31,42,1,0,꽝
1,999,random,3,1,2,25,28,32,39,2,0,꽝
1,999,random,4,7,15,18,29,38,45,1,0,꽝
1,999,random,5,1,2,21,35,43,44,1,0,꽝
1,1000,random,1,5,8,9,17,32,37,2,0,꽝
1,1000,random,2,7,14,25,29,31,42,1,0,꽝
1,1000,random,3,1,2,25,28,32,39,2,1,꽝
1,1000,random,4,7,15,18,29,38,45,0,0,꽝
1,1000,random,5,1,2,21,35,43,44,1,0,꽝
1,1001,random,1,5,8,9,17,32,37,0,0,꽝
1,1001,random,2,7,14,25,29,31,42,2,0,꽝
1,1001,random,3,1,2,25,28,32,39,0,0,꽝
1,1001,random,4,7,15,18,29,38,45,0,1,꽝
1,1001,random,5,1,2,21,35,43,44,0,0,꽝
1,1002,random,1,5,8,9,17,32,37,1,0,꽝
1,1002,random,2,7,14,25,29,31,42,1,0,꽝
1,1002,random,3,1,2,25,28,32,39,1,0,꽝
1,1002,random,4,7,15,18,29,38,45,2,1,꽝
1,1002,random,5,1,2,21,35,43,44,1,0,꽝
1,1003,random,1,5,8,9,17,32,37,0,0,꽝
1,1003,random,2,7,14,25,29,31,42,1,1,꽝
1,1003,random,3,1,2,25,28,32,39,2,0,꽝
1,1003,random,4,7,15,18,29,38,45,2,0,꽝
1,1003,random,5,1,2,21,35,43,44,2,0,꽝
1,1004,random,1,5,8,9,17,32,37,1,0,꽝
1,1004,random,2,7,14,25,29,31,42,1,0,꽝
1,1004,random,3,1,2,25,28,32,39,1,0,꽝
1,1004,random,4,7,15,18,29,38,45,2,1,꽝
1,1004,random,5,1,2,21,35,43,44,1,0,꽝
1,1005,random,1,5,8,9,17,32,37,1,1,꽝
1,1005,random,2,7,14,25,29,31,42,1,0,꽝
1,1005,random,3,1,2,25,28,32,39,0,0,꽝
1,1005,random,4,7,15,18,29,38,45,2,0,꽝
1,1005,random,5,1,2,21,35,43,44,0,0,꽝
1,1006,random,1,5,8,9,17,32,37,3,0,5등
1,1006,random,2,7,14,25,29,31,42,0,0,꽝
1,1006,random,3,1,2,25,28,32,39,0,0,꽝
1,1006,random,4,7,15,18,29,38,45,1,0,꽝
1,1006,random,5,1,2,21,35,43,44,0,0,꽝
1,1007,random,1,5,8,9,17,32,37,1,0,꽝
1,1007,random,2,7,14,25,29,31,42,1,0,꽝
1,1007,random,3,1,2,25,28,32,39,1,0,꽝
1,1007,random,4,7,15,18,29,38,45,0,0,꽝
1,1007,random,5,1,2,21,35,43,44,1,0,꽝
1,1008,random,1,5,8,9,17,32,37,1,0,꽝
1,1008,random,2,7,14,25,29,31,42,1,0,꽝
1,1008,random,3,1,2,25,28,32,39,0,0,꽝
1,1008,random,4,7,15,18,29,38,45,0,0,꽝
1,1008,random,5,1,2,21,35,43,44,1,0,꽝
1,1009,random,1,5,8,9,17,32,37,0,0,꽝
1,1009,random,2,7,14,25,29,31,42,1,0,꽝
1,1009,random,3,1,2,25,28,32,39,0,0,꽝
1,1009,random,4,7,15,18,29,38,45,2,0,꽝
1,1009,random,5,1,2,21,35,43,44,1,0,꽝
1,1010,random,1,5,8,9,17,32,37,1,0,꽝
1,1010,random,2,7,14,25,29,31,42,1,0,꽝
1,1010,random,3,1,2,25,28,32,39,1,0,꽝
1,1010,random,4,7,15,18,29,38,45,1,0,꽝
1,1010,random,5,1,2,21,35,43,44,0,0,꽝
1,1011,random,1,5,8,9,17,32,37,1,0,꽝
1,1011,random,2,7,14,25,29,31,42,0,1,꽝
1,1011,random,3,1,2,25,28,32,39,1,0,꽝
1,1011,random,4,7,15,18,29,38,45,1,0,꽝
1,1011,random,5,1,2,21,35,43,44,2,0,꽝
1,1012,random,1,5,8,9,17,32,37,1,0,꽝
1,1012,random,2,7,14,25,29,31,42,0,0,꽝
1,1012,random,3,1,2,25,28,32,39,0,0,꽝
1,1012,random,4,7,15,18,29,38,45,2,0,꽝
1,1012,random,5,1,2,21,35,43,44,1,0,꽝
1,1013,random,1,5,8,9,17,32,37,0,1,꽝
1,1013,random,2,7,14,25,29,31,42,0,0,꽝
1,1013,random,3,1,2,25,28,32,39,0,1,꽝
1,1013,random,4,7,15,18,29,38,45,0,0,꽝
1,1013,random,5,1,2,21,35,43,44,1,0,꽝
1,1014,random,1,5,8,9,17,32,37,0,0,꽝
1,1014,random,2,7,14,25,29,31,42,1,0,꽝
1,1014,random,3,1,2,25,28,32,39,0,0,꽝
1,1014,random,4,7,15,18,29,38,45,1,0,꽝
1,1014,random,5,1,2,21,35,43,44,0,1,꽝
1,1015,random,1,5,8,9,17,32,37,1,0,꽝
1,1015,random,2,7,14,25,29,31,42,2,0,꽝
1,1015,random,3,1,2,25,28,32,39,0,0,꽝
1,1015,random,4,7,15,18,29,38,45,0,0,꽝
1,1015,random,5,1,2,21,35,43,44,0,1,꽝
1,1016,random,1,5,8,9,17,32,37,0,0,꽝
1,1016,random,2,7,14,25,29,31,42,1,0,꽝
1,1016,random,3,1,2,25,28,32,39,1,0,꽝
1,1016,random,4,7,15,18,29,38,45,1,0,꽝
1,1016,random,5,1,2,21,35,43,44,0,1,꽝
1,1017,random,1,5,8,9,17,32,37,0,1,꽝
1,1017,random,2,7,14,25,29,31,42,0,0,꽝
1,1017,random,3,1,2,25,28,32,39,0,1,꽝
1,1017,random,4,7,15,18,29,38,45,1,0,꽝
1,1017,random,5,1,2,21,35,43,44,0,0,꽝
1,1018,random,1,5,8,9,17,32,37,1,0,꽝
1,1018,random,2,7,14,25,29,31,42,1,0,꽝
1,1018,random,3,1,2,25,28,32,39,1,0,꽝
1,1018,random,4,7,15,18,29,38,45,1,0,꽝
1,1018,random,5,1,2,21,35,43,44,1,1,꽝
1,1019,random,1,5,8,9,17,32,37,1,0,꽝
1,1019,random,2,7,14,25,29,31,42,0,0,꽝
1,1019,random,3,1,2,25,28,32,39,2,0,꽝
1,1019,random,4,7,15,18,29,38,45,0,0,꽝
1,1019,random,5,1,2,21,35,43,44,1,0,꽝
1,1020,random,1,5,8,9,17,32,37,0,0,꽝
1,1020,random,2,7,14,25,29,31,42,1,0,꽝
1,1020,random,3,1,2,25,28,32,39,0,0,꽝
1,1020,random,4,7,15,18,29,38,45,3,0,5등
1,1020,random,5,1,2,21,35,43,44,0,0,꽝
1,1021,random,1,5,8,9,17,32,37,1,0,꽝
1,1021,random,2,7,14,25,29,31,42,1,0,꽝
1,1021,random,3,1,2,25,28,32,39,0,0,꽝
1,1021,random,4,7,15,18,29,38,45,3,0,5등
1,1021,random,5,1,2,21,35,43,44,0,0,꽝
1,1022,random,1,5,8,9,17,32,37,1,0,꽝
1,1022,random,2,7,14,25,29,31,42,2,0,꽝
1,1022,random,3,1,2,25,28,32,39,0,1,꽝
1,1022,random,4,7,15,18,29,38,45,2,0,꽝
1,1022,random,5,1,2,21,35,43,44,0,0,꽝
1,1023,random,1,5,8,9,17,32,37,0,0,꽝
1,1023,random,2,7,14,25,29,31,42,2,1,꽝
1,1023,random,3,1,2,25,28,32,39,0,1,꽝
1,1023,random,4,7,15,18,29,38,45,2,0,꽝
1,1023,random,5,1,2,21,35,43,44,1,0,꽝
1,1024,random,1,5,8,9,17,32,37,1,0,꽝
1,1024,random,2,7,14,25,29,31,42,0,0,꽝
